Date,Credit Spread,Excess Spread,CFETS Valuation,Sentiment Value
2019-06-18,226.135,142.28,5.43405,0.5
2019-06-19,229.885,142.345,5.4583,0.5
2019-06-20,229.63,142.665,5.4305,0.5
2019-06-21,230.595,144.11,5.4359,0.5
2019-06-24,228.63,144.35,5.4318,0.5
2019-06-25,231.305,145.27,5.448,0.5
2019-06-26,233.16,145.0,5.44955,0.5
2019-06-27,233.285,144.54,5.4403,0.029376461276375387
2019-06-28,236.135,145.57,5.45455,0.5
2019-07-01,235.045,145.47,5.43175,0.5
2019-07-02,239.545,145.52,5.43515,0.5
2019-07-03,241.24,145.69,5.42845,0.5
2019-07-04,238.08,145.27,5.3932,0.5
2019-07-05,237.83,145.585,5.407,0.5
2019-07-08,239.145,145.7,5.41895,0.5
2019-07-09,227.855,135.315,5.30725,0.5
2019-07-10,225.485,135.405,5.30665,0.5
2019-07-11,227.18,135.865,5.30815,0.7143431215782303
2019-07-12,227.61,135.825,5.3086,0.5
2019-07-15,225.03,135.135,5.2909,0.5
2019-07-16,226.97,135.685,5.30775,0.5
2019-07-17,229.885,137.59,5.3258,0.5
2019-07-18,231.805,136.025,5.33765,0.5
2019-07-19,233.605,136.505,5.34505,0.5
2019-07-22,233.615,136.295,5.3265,0.5
2019-07-23,232.345,136.255,5.31195,0.5
2019-07-24,232.725,136.415,5.31305,0.5
2019-07-25,232.835,136.84,5.3156,0.5
2019-07-26,231.455,136.085,5.3028,0.5
2019-07-29,231.48,136.885,5.3007,0.5
2019-07-30,228.855,136.15,5.2791,0.5
2019-07-31,228.98,135.655,5.2614,0.5
2019-08-01,228.04,136.02,5.24615,0.5
2019-08-02,225.165,135.525,5.20065,0.5
2019-08-05,226.36,136.255,5.1966,0.5
2019-08-06,224.62,136.77,5.1939,0.5
2019-08-07,223.825,137.295,5.1929,0.5
2019-08-08,226.675,136.725,5.17565,0.5
2019-08-09,226.775,136.87,5.17305,0.5
2019-08-12,223.54,136.985,5.1642,0.5
2019-08-13,203.9,110.2,4.8257,0.5
2019-08-14,205.49,109.94,4.8783,0.5
2019-08-15,199.87,110.13,4.8824,0.5
2019-08-16,201.51,109.8,4.9412,0.5
2019-08-19,197.38,110.13,4.9435,0.5
2019-08-20,193.96,110.02,4.9187,0.5
2019-08-21,191.44,109.34,4.9116,0.5
2019-08-22,191.6,109.62,4.9215,0.5
