Date,Credit Spread,Excess Spread,CFETS Valuation,Sentiment Value
2019-06-18,278.93,179.735,6.12475,0.5
2019-06-19,274.27,173.78,5.99855,0.5
2019-06-20,275.11,173.095,5.9665,0.22583312857057958
2019-06-21,274.775,174.0,5.97785,0.27051259643965464
2019-06-24,272.57,174.6,5.97385,0.5
2019-06-25,269.47,170.075,5.93615,0.5
2019-06-26,270.77,170.47,5.9414,0.5
2019-06-27,272.98,170.445,5.9329,0.5
2019-06-28,273.33,171.045,5.9465,0.5
2019-07-01,272.085,170.725,5.9235,0.5
2019-07-02,272.42,168.71,5.877,0.5
2019-07-03,263.71,159.605,5.77135,0.5
2019-07-04,292.43,189.645,6.03725,0.5
2019-07-05,291.505,190.15,6.04905,0.5
2019-07-08,290.735,191.38,6.06235,0.5
2019-07-09,295.86,195.81,6.1001,0.5
2019-07-10,294.3,195.95,6.1018,0.8262159504801102
2019-07-11,296.76,196.275,6.1012,0.7143431215782303
2019-07-12,302.57,201.55,6.1509,0.5393232113396408
2019-07-15,304.96,203.25,6.1297,0.5
2019-07-16,307.68,203.06,6.1444,0.5
2019-07-17,299.32,194.87,6.0631,0.5
2019-07-18,302.43,194.69,6.0584,0.22860846067385776
2019-07-19,301.68,194.74,6.0779,0.5
2019-07-22,302.69,195.04,6.0491,0.5
2019-07-23,308.9,199.93,6.0779,0.5
2019-07-24,312.53,204.94,6.1288,0.5
2019-07-25,307.43,200.36,6.0894,0.5
2019-07-26,306.96,200.27,6.0778,0.5
2019-07-29,305.87,201.47,6.0748,0.5
2019-07-30,304.84,201.35,6.0434,0.5
2019-07-31,310.26,206.24,6.0673,0.5
2019-08-01,308.51,205.91,6.0543,0.5
2019-08-02,306.05,205.6,6.008,0.5
2019-08-05,304.62,205.73,6.0099,0.5
2019-08-06,303.62,206.56,6.0251,0.5
2019-08-07,299.02,207.58,6.0103,0.5
2019-08-08,300.23,206.7,5.9814,0.5
2019-08-09,298.49,206.29,5.9794,0.5
2019-08-12,293.41,205.92,5.9569,0.5
2019-08-13,290.66,204.43,5.9201,0.5
2019-08-14,289.55,205.64,5.9335,0.5
2019-08-15,286.57,205.51,5.9095,0.9520339531167974
2019-08-16,321.98,241.12,6.2818,0.5
2019-08-19,321.24,240.6,6.2638,0.5
2019-08-20,320.96,239.79,6.2391,0.5
2019-08-21,325.11,245.73,6.2893,0.5
2019-08-22,322.88,244.42,6.2776,0.5
2019-08-23,327.16,244.15,6.2915,0.5
2019-08-26,326.76,245.13,6.2712,0.5
2019-08-27,323.74,244.6,6.2902,0.5
2019-08-28,320.78,245.8,6.3084,0.7640642190588882
2019-08-29,320.2,246.35,6.3012,0.5
2019-08-30,321.5,246.05,6.2985,0.5
2019-09-02,321.31,247.02,6.3087,0.5
2019-09-03,321.01,245.99,6.2914,0.5
2019-09-04,319.01,248.44,6.3082,0.5
2019-09-05,319.98,249.88,6.3167,0.5
2019-09-06,322.85,250.29,6.3317,0.5
2019-09-09,318.58,249.18,6.2981,0.5
2019-09-10,316.06,248.6,6.2737,0.5
2019-09-11,318.68,249.56,6.2985,0.5
2019-09-12,318.61,249.51,6.3024,0.5
2019-09-16,320.81,250.45,6.3077,0.5
2019-09-17,324.52,249.89,6.3107,0.5
2019-09-18,321.63,249.5,6.3053,0.5
2019-09-19,319.09,248.56,6.2875,0.5
2019-09-20,319.48,247.86,6.2795,0.5
2019-09-23,328.73,258.15,6.3788,0.5
2019-09-24,329.88,258.23,6.3755,0.5
2019-09-25,334.68,264.28,6.4144,0.5
2019-09-26,336.42,264.28,6.4267,0.5
2019-09-27,332.08,59.7,6.3936,0.5
2019-09-29,332.2,59.7,6.3879,0.5
2019-09-30,346.16,74.46,6.515,0.5
2019-10-08,346.3,76.14,6.514,0.5
2019-10-09,347.47,76.09,6.4964,0.9991896019169739
2019-10-10,344.58,76.19,6.4886,0.5
2019-10-11,332.83,67.03,6.3857,0.5
2019-10-12,330.93,66.66,6.3805,0.5
2019-10-14,331.4,67.87,6.3847,0.5
2019-10-15,321.18,57.95,6.3012,0.5
2019-10-16,339.86,77.69,6.4943,0.5
2019-10-17,353.7,78.905,6.6323,0.5
2019-10-18,352.53,79.64,6.62755,0.5
2019-10-21,350.235,79.685,6.62555,0.5
2019-10-22,349.715,78.75,6.62735,0.5
2019-10-23,354.375,83.815,6.71425,0.5
2019-10-24,354.68,83.745,6.714,0.5
2019-10-25,354.75,84.81,6.7172,0.5
2019-10-28,362.82,94.935,6.82805,0.995418430208469
2019-10-29,363.735,94.74,6.8475,0.5
2019-10-30,360.78,95.38,6.897,0.5
2019-10-31,364.51,95.195,6.9198,0.5
2019-11-01,358.185,85.745,6.82775,0.5
2019-11-04,358.54,85.13,6.8414,0.3921358596072938
2019-11-05,377.085,100.75,7.00685,0.5688938351283348
2019-11-06,377.915,100.39,6.9832,0.5
