Date,Credit Spread,Excess Spread,CFETS Valuation,Sentiment Value
2019-06-18,252.94,166.485,5.587,0.5
2019-06-19,255.36,166.89,5.4991,0.5
2019-06-20,259.85,169.6,5.5165,0.5
2019-06-21,254.37,165.32,5.4468,0.5
2019-06-24,252.45,165.51,5.4397,0.5
2019-06-25,257.11,168.37,5.4852,0.5
2019-06-26,256.6,166.2,5.4492,0.5
2019-06-27,258.28,165.41,5.4436,0.029376461276375387
2019-06-28,259.1,165.41,5.4363,0.5
2019-07-01,257.84,165.54,5.4152,0.5
2019-07-02,259.76,164.29,5.408,0.5
2019-07-03,261.05,164.27,5.39,0.5
2019-07-04,259.12,163.29,5.3533,0.5
2019-07-05,260.8,164.84,5.385,0.5
2019-07-08,259.56,164.8,5.3809,0.5
2019-07-09,259.72,164.33,5.3796,0.5
2019-07-10,253.84,162.7,5.351,0.5
2019-07-11,258.91,164.1,5.3757,0.7143431215782303
2019-07-12,260.31,164.54,5.3865,0.5
2019-07-15,258.56,163.98,5.3759,0.5
2019-07-16,260.73,166.15,5.404,0.5
2019-07-17,263.03,166.99,5.4264,0.5
2019-07-18,267.3,167.16,5.4547,0.5
2019-07-19,272.6,169.87,5.506,0.5
2019-07-22,271.21,168.82,5.4662,0.5
2019-07-23,269.09,168.67,5.444,0.5
2019-07-24,269.27,169.36,5.4503,0.5
2019-07-25,270.77,170.72,5.4702,0.5
2019-07-26,264.7,167.74,5.4125,0.5
2019-07-29,264.73,168.15,5.4121,0.5
2019-07-30,262.28,167.94,5.3892,0.5
2019-07-31,261.17,165.64,5.3533,0.5
2019-08-01,261.0,167.2,5.3559,0.5
2019-08-02,257.29,165.75,5.3008,0.5
2019-08-05,259.45,168.8,5.335,0.5
2019-08-06,256.82,168.13,5.3141,0.5
2019-08-07,255.65,169.65,5.3106,0.5
2019-08-08,258.98,168.39,5.2773,0.5
2019-08-09,259.45,169.91,5.2977,0.5
2019-08-12,255.12,169.73,5.274,0.5
2019-08-13,254.48,169.37,5.2378,0.5
2019-08-14,252.33,168.5,5.226,0.5
2019-08-15,253.95,169.98,5.2437,0.5
2019-08-16,256.94,169.89,5.2733,0.5
2019-08-19,251.26,170.03,5.2389,0.5
2019-08-20,247.71,168.68,5.213,0.5
2019-08-21,245.3,168.28,5.2102,0.5
2019-08-22,242.37,168.37,5.1921,0.5
2019-08-23,245.25,168.59,5.2204,0.5
2019-08-26,240.49,166.55,5.1799,0.5
2019-08-27,242.46,167.85,5.2107,0.5
2019-08-28,242.94,168.88,5.2235,0.5
2019-08-29,241.42,168.23,5.1993,0.5
2019-08-30,239.99,168.12,5.206,0.5
2019-09-02,240.83,168.14,5.2143,0.5
2019-09-03,239.29,167.88,5.1997,0.5
