Date,Credit Spread,Excess Spread,CFETS Valuation,Sentiment Value
2019-06-18,214.36,126.23,5.273,0.5
2019-06-19,216.375,126.76,5.29695,0.5
2019-06-20,218.975,128.99,5.26535,0.7869039006505033
2019-06-21,216.93,128.095,5.2772,0.9915361044758753
2019-06-24,215.075,128.4,5.27335,0.5
2019-06-25,217.42,129.785,5.2859,0.5
2019-06-26,216.9,128.94,5.291,0.5
2019-06-27,221.41,128.455,5.28235,0.5
2019-06-28,220.53,130.4,5.3456,0.5
2019-07-01,219.36,130.39,5.3223,0.5
2019-07-02,224.06,130.91,5.3097,0.5
2019-07-03,225.98,131.19,5.3071,0.5
2019-07-04,242.29,146.88,5.4862,0.5
2019-07-05,243.04,148.4,5.4933,0.5
2019-07-08,259.82,163.14,5.652,0.19444681580185566
2019-07-09,257.91,162.51,5.6474,0.4124852819879599
2019-07-10,255.4,162.04,5.6385,0.5
2019-07-11,276.86,183.17,5.8376,0.5
2019-07-12,277.96,183.5,5.8405,0.5
2019-07-15,278.43,184.16,5.8364,0.5
2019-07-16,277.44,185.15,5.8531,0.5
2019-07-17,289.11,196.64,5.9695,0.027168982095397864
2019-07-18,292.56,194.18,5.9952,0.24326367315673625
2019-07-19,297.82,195.55,5.9818,0.6857276307856099
2019-07-22,296.12,194.64,5.9773,0.5
2019-07-23,294.53,194.56,5.9646,0.5
2019-07-24,293.84,195.02,5.927,0.5
2019-07-25,300.46,201.53,5.9732,0.5
2019-07-26,296.14,199.57,6.0041,0.5
2019-07-29,295.56,200.23,5.9797,0.5
2019-07-30,292.84,199.15,5.9924,0.5
2019-07-31,292.06,197.99,5.9683,0.5
2019-08-01,291.13,198.79,5.9656,0.5
2019-08-02,288.4,197.97,5.924,0.5
2019-08-05,310.07,219.51,6.1047,0.8963152177136069
2019-08-06,317.99,230.63,6.1885,0.5
2019-08-07,332.18,245.76,6.3489,0.5
2019-08-08,334.42,244.34,6.3468,0.5
2019-08-09,336.25,245.88,6.3374,0.5
2019-08-12,331.78,245.78,6.343,0.5
2019-08-13,335.44,245.27,6.3279,0.5
2019-08-14,335.35,244.34,6.33,0.5
2019-08-15,333.26,246.71,6.2846,0.5
2019-08-16,335.75,247.93,6.2932,0.5
2019-08-19,330.64,246.37,6.2956,0.5
2019-08-20,327.23,244.89,6.2709,0.5
2019-08-21,324.57,244.25,6.2633,0.5
2019-08-22,321.75,244.36,6.2738,0.5
2019-08-23,323.15,244.36,6.2806,0.5
2019-08-26,321.03,243.15,6.271,0.5
2019-08-27,350.85,273.97,6.3965,0.5
2019-08-28,352.39,275.07,6.4101,0.5
2019-08-29,352.45,274.58,6.5275,0.5
2019-08-30,349.52,274.19,6.5717,0.5
2019-09-02,349.99,274.48,6.5888,0.5
2019-09-03,347.63,274.16,6.5759,0.5
2019-09-04,348.76,273.25,6.5969,0.5
2019-09-05,349.7,273.49,6.5827,0.5
2019-09-06,341.89,264.6,6.4822,0.5
2019-09-09,337.43,264.13,6.4779,0.5
2019-09-10,336.98,263.54,6.4773,0.5
2019-09-11,339.19,264.14,6.4855,0.5
2019-09-12,340.32,264.88,6.4941,0.5
2019-09-16,364.48,289.35,6.5602,0.5
2019-09-17,367.48,289.53,6.5628,0.5
2019-09-18,357.22,279.36,6.5718,0.5
2019-09-19,355.5,279.65,6.6385,0.5
2019-09-20,353.41,278.55,6.6405,0.5
2019-09-23,352.51,279.02,6.6424,0.5
2019-09-24,354.52,278.01,6.6626,0.5
2019-09-25,355.16,277.7,6.6756,0.5
2019-09-26,356.05,277.7,6.6738,0.5
2019-09-27,353.1,277.61,6.6571,0.5
2019-09-29,352.64,277.88,6.663,0.5
2019-09-30,348.84,277.31,6.6268,0.5
2019-10-08,348.13,277.78,6.6255,0.5
2019-10-09,349.68,277.89,6.6313,0.5
2019-10-10,348.64,277.8,6.6305,0.5
2019-10-11,347.16,277.9,6.6254,0.5
2019-10-12,346.55,277.96,6.5334,0.5
2019-10-14,346.74,277.98,6.5076,0.5
2019-10-15,347.9,278.09,6.5344,0.5
2019-10-16,346.53,277.71,6.6259,0.5
2019-10-17,345.84,277.7,6.6055,0.5
2019-10-18,343.85,277.88,6.6007,0.5
2019-10-21,342.97,278.44,6.6029,0.5
2019-10-22,340.62,277.95,6.6006,0.5
2019-10-23,342.31,278.0,6.5804,0.5
2019-10-24,361.29,298.37,6.7999,0.5
2019-10-25,362.28,298.54,6.802,0.5
2019-10-28,363.45,298.1,6.803,0.5
2019-10-29,368.48,298.595,6.8325,0.5
2019-10-30,365.47,297.835,6.88205,0.5
2019-10-31,367.855,298.125,6.90665,0.5
2019-11-01,372.405,299.195,6.93455,0.5
2019-11-04,373.335,298.87,6.9488,0.5
2019-11-05,376.525,299.1,6.9645,0.5
2019-11-06,376.45,298.655,6.9274,0.5
2019-11-07,375.72,298.675,6.91775,0.5
2019-11-08,374.815,299.24,6.8957,0.21890309620832038
2019-11-11,376.89,298.855,6.8997,0.5
2019-11-12,375.84,298.925,6.8736,0.5
2019-11-13,373.265,299.24,6.86755,0.5
2019-11-14,377.86,110.25,6.86505,0.5
2019-11-15,381.555,110.07,6.9551,0.5
2019-11-18,387.45,111.155,6.98245,0.5
2019-11-19,391.535,111.825,6.96915,0.5
2019-11-20,392.67,112.38,6.95785,0.5
2019-11-21,389.79,111.98,6.9331,0.5
2019-11-22,390.11,112.26,6.9377,0.5
2019-11-25,388.85,112.57,6.93195,0.5
2019-11-26,387.065,112.49,6.93825,0.5
2019-11-27,385.93,111.69,6.9285,0.5
2019-11-28,389.5,112.72,6.9428,0.5
2019-11-29,389.635,112.095,6.94055,0.5
2019-12-02,385.265,110.745,6.824,0.5
2019-12-03,387.355,111.355,6.83955,0.5
2019-12-04,386.815,111.815,6.8315,0.5
2019-12-05,413.36,137.13,7.0943,0.5
2019-12-06,413.56,136.32,7.0927,0.5
2019-12-09,411.615,135.45,7.0885,0.5
2019-12-10,411.08,135.71,7.08705,0.5
2019-12-11,411.74,135.61,7.07755,0.5
2019-12-12,413.52,135.695,7.0727,0.5
2019-12-13,417.495,141.045,7.12575,0.6508000039814403
2019-12-16,415.17,140.925,7.11745,0.5
2019-12-17,415.45,140.925,7.1233,0.5
2019-12-18,415.325,141.05,7.1225,0.5
2019-12-19,417.095,140.545,7.1216,0.8120398109700073
2019-12-20,422.56,141.015,7.1218,0.9253290675787578
2019-12-23,427.015,141.965,7.10805,0.9221230792336835
2019-12-24,432.36,141.855,7.09925,0.5
2019-12-25,431.775,141.375,7.0905,0.9519266808973372
2019-12-26,433.875,139.92,7.06445,0.5
2019-12-27,434.9,139.955,7.0626,0.5
2019-12-30,433.88,139.685,6.9188,0.9597608806609489
2019-12-31,435.13,140.33,6.9318,0.9236938525357514
2020-01-02,430.775,140.66,6.92095,0.17843634119552276
2020-01-03,427.96,141.09,6.9321,0.2441832095038221
2020-01-06,425.61,141.24,6.9156,0.5
2020-01-07,434.03,141.44,6.8814,0.5
2020-01-08,433.7,140.95,6.8642,0.5
2020-01-09,431.32,140.32,6.8262,0.5
2020-01-10,430.39,140.37,6.8132,0.5
2020-01-13,429.315,140.685,6.90815,0.5
2020-01-14,428.08,140.35,6.91235,0.5
2020-01-15,430.715,140.965,6.9403,0.5
2020-01-16,380.26,90.445,6.42365,0.5
2020-01-17,382.045,90.73,6.40385,0.16810786689196522
2020-01-19,382.6,90.255,6.3923,0.07148542778624078
2020-01-20,341.99,50.315,5.9939,0.5
2020-01-21,339.005,51.045,5.9964,0.5
2020-01-22,343.66,50.37,5.98545,0.5
2020-01-23,341.535,50.84,5.9803,0.5
2020-02-03,360.645,49.835,5.86395,0.5
2020-02-04,356.025,49.425,5.87725,0.5
2020-02-05,359.025,50.67,5.8671,0.5
2020-02-06,365.58,52.955,5.88495,0.5
2020-02-07,360.76,53.44,5.8523,0.5
2020-02-10,362.465,48.28,5.80445,0.5
2020-02-11,361.37,47.83,5.81555,0.5
2020-02-12,358.555,47.865,5.76835,0.5
2020-02-13,356.935,46.525,5.7351,0.5
2020-02-14,354.01,44.145,5.7205,0.5
2020-02-17,352.82,43.965,5.7017,0.5
2020-02-18,346.99,43.92,5.6882,0.8894564113875505
2020-02-19,339.8,44.005,5.6756,0.5
2020-02-20,331.79,43.705,5.6497,0.5
2020-02-21,327.85,44.17,5.6186,0.5
2020-02-24,326.12,44.155,5.60565,0.033471724270180414
2020-02-25,323.97,44.67,5.58025,0.5
2020-02-26,320.26,44.09,5.5559,0.5
2020-02-27,317.845,44.265,5.5452,0.08136989713624537
2020-02-28,318.57,44.205,5.5274,0.5
2020-03-02,321.54,45.54,5.55605,0.5
2020-03-03,322.385,45.385,5.5582,0.5
